"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Sanderling","SAND","waterbirds",2480,"Sanderling",TRUE,TRUE,TRUE,"Sanderling","Charadriiformes","Scolopacidae","Calidris","alba","Least Concern","Decreasing"
"Sandhill Crane","SACR","marshlands",2060,"Sandhill Crane",TRUE,TRUE,TRUE,"Sandhill Crane","Gruiformes","Gruidae","Antigone","canadensis",NA,NA
"Sandwich Tern","SATE","coastal",670,"Sandwich Tern",TRUE,TRUE,TRUE,"Sandwich Tern","Charadriiformes","Laridae","Thalasseus","sandvicensis","Least Concern","Stable"
"Savannah Sparrow","SAVS","grasslands",5420,"Savannah Sparrow",TRUE,TRUE,TRUE,"Savannah Sparrow","Passeriformes","Passerellidae","Passerculus","sandwichensis","Least Concern","Decreasing"
"Say's Phoebe","SAPH","generalists",4570,"Say's Phoebe",TRUE,TRUE,TRUE,"Say's Phoebe","Passeriformes","Tyrannidae","Sayornis","saya","Least Concern","Increasing"
"Scaled Quail","SCQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata","Least Concern","Decreasing"
"Scarlet Tanager","SCTA","eastern_forests",6080,"Scarlet Tanager",TRUE,TRUE,TRUE,"Scarlet Tanager","Passeriformes","Cardinalidae","Piranga","olivacea","Least Concern","Decreasing"
"Scissor-tailed Flycatcher","STFL","grasslands",4430,"Scissor-tailed Flycatcher",TRUE,TRUE,TRUE,"Scissor-tailed Flycatcher","Passeriformes","Tyrannidae","Tyrannus","forficatus","Least Concern","Decreasing"
"Scott's Oriole","SCOR","aridlands",5040,"Scott's Oriole",TRUE,TRUE,TRUE,"Scott's Oriole","Passeriformes","Icteridae","Icterus","parisorum","Least Concern","Decreasing"
"Seaside Sparrow","SESP","coastal",5500,"Seaside Sparrow",TRUE,TRUE,TRUE,"Seaside Sparrow","Passeriformes","Passerellidae","Ammospiza","maritima","Least Concern","Stable"
"Sedge Wren","SEWR","grasslands",7240,"Sedge Wren",TRUE,TRUE,TRUE,"Sedge Wren","Passeriformes","Troglodytidae","Cistothorus","stellaris","Least Concern","Decreasing"
"Semipalmated Plover","SEPL","coastal",2740,"Semipalmated Plover",TRUE,TRUE,TRUE,"Semipalmated Plover","Charadriiformes","Charadriidae","Charadrius","semipalmatus","Least Concern","Decreasing"
"Semipalmated Plover","SEPL","waterbirds",2740,"Semipalmated Plover",TRUE,TRUE,TRUE,"Semipalmated Plover","Charadriiformes","Charadriidae","Charadrius","semipalmatus","Least Concern","Decreasing"
"Semipalmated Sandpiper","SESA","waterbirds",2460,"Semipalmated Sandpiper",TRUE,TRUE,TRUE,"Semipalmated Sandpiper","Charadriiformes","Scolopacidae","Calidris","pusilla","Near Threatened","Decreasing"
"Sharp-shinned Hawk","SSHA","western_forests",3320,"Sharp-shinned Hawk",TRUE,TRUE,TRUE,"Sharp-shinned Hawk","Accipitriformes","Accipitridae","Accipiter","striatus","Least Concern","Decreasing"
"Sharp-tailed Grouse","STGR","grasslands",NA,NA,FALSE,TRUE,TRUE,"Sharp-tailed Grouse","Galliformes","Phasianidae","Tympanuchus","phasianellus","Least Concern","Increasing"
