"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Grace's Warbler","GRWA","western_forests",6640,"Grace's Warbler",TRUE,TRUE,TRUE,"Grace's Warbler","Passeriformes","Parulidae","Setophaga","graciae"
"Grasshopper Sparrow","GRSP","grasslands",5460,"Grasshopper Sparrow",TRUE,TRUE,TRUE,"Grasshopper Sparrow","Passeriformes","Passerellidae","Ammodramus","savannarum"
"Gray Catbird","GRCA","eastern_forests",7040,"Gray Catbird",TRUE,TRUE,TRUE,"Gray Catbird","Passeriformes","Mimidae","Dumetella","carolinensis"
"Gray Flycatcher","GRFL","aridlands",4691,"Gray Flycatcher",TRUE,TRUE,TRUE,"Gray Flycatcher","Passeriformes","Tyrannidae","Empidonax","wrightii"
"Gray Hawk","GRHA","western_forests",3460,"Gray Hawk",TRUE,TRUE,TRUE,"Gray Hawk","Accipitriformes","Accipitridae","Buteo","plagiatus"
"Gray Kingbird","GRAK","subtropical_forests",4450,"Gray Kingbird",TRUE,TRUE,TRUE,"Gray Kingbird","Passeriformes","Tyrannidae","Tyrannus","dominicensis"
"Gray Partridge","GRAP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Gray Partridge","Galliformes","Phasianidae","Perdix","perdix"
"Gray Vireo","GRVI","aridlands",6340,"Gray Vireo",TRUE,TRUE,TRUE,"Gray Vireo","Passeriformes","Vireonidae","Vireo","vicinior"
"Gray-cheeked Thrush","GCTH","boreal_forests",7570,"Gray-cheeked Thrush",TRUE,TRUE,TRUE,"Gray-cheeked Thrush","Passeriformes","Turdidae","Catharus","minimus"
"Gray-crowned Rosy-Finch","GCRF","arctic",5240,"Gray-crowned Rosy-Finch",TRUE,TRUE,TRUE,"Gray-crowned Rosy-Finch","Passeriformes","Fringillidae","Leucosticte","tephrocotis"
"Great Black-backed Gull","GBBG","coastal",470,"Great Black-backed Gull",TRUE,TRUE,TRUE,"Great Black-backed Gull","Charadriiformes","Laridae","Larus","marinus"
