"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Sage Thrasher","SATH","anthro",-1.18699911329817,-2.1612456425,-2.013581465,-0.361364357,-0.20933457975,TRUE,TRUE,FALSE
"Sagebrush Sparrow","SABS","anthro",-1.03624902350321,-2.4602032975,-2.238912615,0.146765485,0.382779267499998,FALSE,FALSE,FALSE
"Sandhill Crane","SACR","anthro",1.0925614726225,0.54679059575,0.643268489,1.56258809,1.6615023475,TRUE,TRUE,FALSE
"Sandwich Tern","SATE","anthro",0.440864692597362,-1.241969525,-0.9845501645,1.83305933,2.0974039575,FALSE,FALSE,FALSE
"Savannah Sparrow","SAVS","anthro",2.5827503983875,2.1414507325,2.211511705,2.93662575,3.0032945475,TRUE,TRUE,FALSE
"Say's Phoebe","SAPH","anthro",0.246766131556028,-0.11096415675,-0.0537101244999999,0.543047699,0.60120425575,FALSE,FALSE,FALSE
"Scaled Quail","SCQU","anthro",-1.62860267300887,-2.511486005,-2.36993195,-0.894950568,-0.742936039,TRUE,TRUE,FALSE
"Scarlet Tanager","SCTA","anthro",-3.4971516366125,-3.7793828125,-3.73557167,-3.253046765,-3.2046967375,TRUE,TRUE,FALSE
"Scissor-tailed Flycatcher","STFL","anthro",0.40980549955256,0.008125998015,0.07420726455,0.7420190505,0.802870012,TRUE,TRUE,FALSE
"Scott's Oriole","SCOR","anthro",-2.45918629272842,-3.8872845275,-3.63047229,-1.286963375,-1.0529369525,TRUE,TRUE,FALSE
"Seaside Sparrow","SESP","anthro",0.0513237364716628,-1.56121386,-1.32907322,1.41998316,1.683925595,FALSE,FALSE,FALSE
"Sedge Wren","SEWR","anthro",0.882249206157096,0.199605982,0.3070278485,1.45520865,1.5648063675,TRUE,TRUE,FALSE
"Sharp-shinned Hawk","SSHA","anthro",-0.031341898404892,-0.38208982475,-0.319704809,0.2541215165,0.30370949775,FALSE,FALSE,FALSE
"Sharp-tailed Grouse","STGR","anthro",-0.462466182158367,-1.272918915,-1.11874728,0.20131631,0.327244557,FALSE,FALSE,FALSE
"Short-eared Owl","SEOW","anthro",-0.691334605130269,-1.36188368,-1.25554432,-0.143528627,-0.0399958575750001,TRUE,TRUE,FALSE
"Short-tailed Hawk","STHA","anthro",-0.543720650574598,-2.094401735,-1.86140734,0.775645637,1.019823445,FALSE,FALSE,FALSE
"Snail Kite","SNKI","anthro",0.112364247815699,-1.420530335,-1.136309205,1.350801365,1.5863483725,FALSE,FALSE,FALSE
"Snowy Egret","SNEG","anthro",0.695638625737123,0.026100525225,0.132286731,1.265983165,1.3743061175,TRUE,TRUE,FALSE
"Snowy Plover","SNPL","anthro",-0.755899915474438,-2.5340858725,-2.237137,0.727101856499998,0.989576552749999,FALSE,FALSE,FALSE
"Song Sparrow","SOSP","anthro",1.20667461779125,0.9766820415,1.00951046,1.400673975,1.439114405,TRUE,TRUE,FALSE
"Sora","SORA","anthro",0.807031513025,0.32233060325,0.393525145,1.210081765,1.284489115,TRUE,TRUE,FALSE
"Spotted Sandpiper","SPSA","anthro",0.130918564548657,-0.32162256575,-0.2466536975,0.5055125115,0.58075945925,FALSE,FALSE,FALSE
"Spotted Towhee","SPTO","anthro",-0.561143106101261,-1.149134885,-1.051071835,-0.0512057272500002,0.04680612325,TRUE,FALSE,TRUE
"Sprague's Pipit","SPPI","anthro",-0.956394558819836,-2.13152154,-1.94749428,0.0459445191999994,0.240751664499999,FALSE,FALSE,FALSE
"Steller's Jay","STJA","anthro",-1.89955056877625,-2.5807869625,-2.465843515,-1.340862705,-1.2441646875,TRUE,TRUE,FALSE
"Summer Tanager","SUTA","anthro",-1.9499418000875,-2.2226287,-2.18066575,-1.713287475,-1.6687383975,TRUE,TRUE,FALSE
"Swainson's Hawk","SWHA","anthro",1.34661108114,0.9765296925,1.03680188,1.648841955,1.7042354775,TRUE,TRUE,FALSE
